| id   | MenuID | OptionNumber | OptionText                                        | Argument                                                         | PWord | TopLine | BottomLine | Command_id | MenuGroup_id |
|   48 |      1 |           11 | Raw Count Table (with Eval Qty)                   | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            1 |
|   49 |      1 |           12 | Typical Locations                                 | Typical Locations                                                |       |       1 |          1 |         15 |            1 |
|   50 |      1 |           13 | SAP                                               | SAP                                                              |       |       1 |          1 |         15 |            1 |
|   51 |      1 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|   52 |      1 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|   53 |      1 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|   54 |      1 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|   55 |      3 |            0 | Calvin's Menu                                     |                                                                  |       |       1 |          1 |       NULL |            1 |
|   56 |      3 |            1 | Review Picklists and SAP Moves                    | frmSchedule AddPicks                                             |       |       1 |          1 |         11 |            1 |
|   57 |      3 |            2 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            1 |
|   58 |      3 |            3 | Print Count Agendas and Worksheets                | frmPrintAgendas                                                  |       |       1 |          1 |         11 |            1 |
|   59 |      3 |            5 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            1 |
|   60 |      3 |            6 | Daily Counts Performed Report                     | frmCountSummaryPreview                                           |       |       1 |          1 |         11 |            1 |
|   61 |      3 |            8 | Raw Count Table (with Eval Qty)                   | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            1 |
|   62 |      3 |            9 | Material with Raw Counts                          | frmMaterial                                                      |       |       1 |          1 |         11 |            1 |
|   63 |      3 |           11 | Update SAP Table                                  | frmImportSAP                                                     |       |       1 |          1 |         11 |            1 |
|   64 |      3 |           12 | SAP                                               | SAP                                                              |       |       1 |          1 |         15 |            1 |
|   65 |      3 |           13 | Material List Update Table                        | 00tmpMatl List Updt                                              |       |       1 |          1 |         15 |            1 |
|   66 |      3 |           14 | CM Count Scheduling Menu                          | 24                                                               |       |       1 |          1 |          1 |            1 |
|   67 |      3 |           15 | Typical Locations                                 | Typical Locations                                                |       |       1 |          1 |         15 |            1 |
|   68 |      3 |           16 | Counters                                          | Counters                                                         |       |       1 |          1 |         15 |            1 |
|   69 |      3 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|   70 |     10 |            0 | Materials and Part Types                          |                                                                  |       |       1 |          1 |       NULL |            1 |
|   71 |     10 |            1 | Material                                          | frmMaterial                                                      |       |       1 |          1 |         11 |            1 |
|   72 |     10 |            6 | Part Types (L10 Warehouse Types)                  | frmPartTypes with CountInfo                                      |       |       1 |          1 |         11 |            1 |
|   73 |     10 |            9 | Print All Material by PartType with Last Counts   | rptParts By Type with LastCounts                                 |       |       1 |          1 |         13 |            1 |
|   74 |     10 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|   75 |     10 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|   76 |     10 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|   77 |     10 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|   78 |     21 |            0 | Count Scheduling                                  |                                                                  |       |       1 |          1 |       NULL |            1 |
|   79 |     21 |            1 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            1 |
|   80 |     21 |            2 | Print Count Agendas and Worksheets                | frmPrintAgendas                                                  |       |       1 |          1 |         11 |            1 |
|   81 |     21 |            4 | Random Count Scheduler for CM Counts              | frmRandCountScheduler                                            |       |       1 |          1 |         11 |            1 |
|   82 |     21 |            7 | View Incomplete Counts                            | qryCountSched - Incompletes                                      |       |       1 |          1 |         16 |            1 |
|   83 |     21 |           10 | View Unassigned (and Incomplete) Scheduled Counts | qryUnassigned Count Schedule                                     |       |       1 |          1 |         16 |            1 |
|   84 |     21 |           11 | Counters                                          | Counters                                                         |       |       1 |          1 |         15 |            1 |
|   85 |     21 |           13 | Raw Count Schedule                                | qryCount Schedule+History with LastCountDate                     |       |       1 |          1 |         16 |            1 |
|   86 |     21 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|   87 |     21 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|   88 |     21 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|   89 |     21 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|   90 |     22 |            0 | Actual Counts                                     |                                                                  |       |       1 |          1 |       NULL |            1 |
|   91 |     22 |            1 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            1 |
|   92 |     22 |            2 | Raw Counts                                        | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            1 |
|   93 |     22 |            3 | Count Sums by Material & Date                     | qryfxdCounts-Sum by Material-CountDate                           |       |       1 |          1 |         16 |            1 |
|   94 |     22 |            4 | Print Count Summary                               | frmCountSummaryPreview                                           |       |       1 |          1 |         11 |            1 |
|   95 |     22 |           11 | Counters Table                                    | Counters                                                         |       |       1 |          1 |         15 |            1 |
|   96 |     22 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|   97 |     22 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|   98 |     22 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|   99 |     22 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  100 |     24 |            0 | CM Counts                                         |                                                                  |       |       1 |          1 |       NULL |            1 |
|  101 |     24 |            1 | CM Random Material Count Scheduling               | frmRandCountScheduler                                            |       |       1 |          1 |         11 |            1 |
|  102 |     24 |            2 | Generate CM Spreadsheet                           | frmExportCMCounts                                                |       |       1 |          1 |         11 |            1 |
|  103 |     24 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  104 |     24 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  105 |     24 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  106 |     24 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  107 |     24 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  108 |     30 |            0 | Audit Menu                                        |                                                                  |       |       1 |          1 |       NULL |            1 |
|  109 |     30 |            1 | Audit Material Table                              | Material for Audit                                               |       |       1 |          1 |         15 |            1 |
|  110 |     30 |            3 | Recent Counts for Audit Materials                 | rptCounts - Raw - Audit Materials                                |       |       1 |          1 |         13 |            1 |
|  111 |     30 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  112 |     60 |            0 | Tables                                            |                                                                  |       |       1 |          1 |       NULL |            1 |
|  113 |     60 |            1 | Count Schedule+History                            | Count Schedule+History                                           |       |       1 |          1 |         15 |            1 |
|  114 |     60 |            2 | Counters                                          | Counters                                                         |       |       1 |          1 |         15 |            1 |
|  115 |     60 |            3 | Counts                                            | Counts                                                           |       |       1 |          1 |         15 |            1 |
|  116 |     60 |            4 | L10Whse PartTypes                                 | L10Whse PartTypes                                                |       |       1 |          1 |         15 |            1 |
|  117 |     60 |            5 | Material List                                     | Material List                                                    |       |       1 |          1 |         15 |            1 |
|  118 |     60 |            6 | SAP                                               | SAP                                                              |       |       1 |          1 |         15 |            1 |
|  119 |     60 |            7 | Typical Locations                                 | Typical Locations                                                |       |       1 |          1 |         15 |            1 |
|  120 |     60 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  121 |     60 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  122 |     60 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  123 |     60 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  124 |     60 |           20 | Main menu                                         | 0                                                                |       |       1 |          1 |          1 |            1 |
|  125 |     65 |            0 | Queries - Scheduled Counts                        |                                                                  |       |       1 |          1 |       NULL |            1 |
|  126 |     65 |            1 | Raw Count Schedule                                | qryCount Schedule+History with LastCountDate                     |       |       1 |          1 |         16 |            1 |
|  127 |     65 |            3 | Count Schedule for a specific Part Type (pattern) | qryCount Schedule+History PartType Like Pattern by LastCountDate |       |       1 |          1 |         16 |            1 |
|  128 |     65 |            7 | View Incomplete Counts                            | qryCountSched - Incompletes                                      |       |       1 |          1 |         16 |            1 |
|  129 |     65 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  130 |     65 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  131 |     65 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  132 |     65 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  133 |     65 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  134 |     66 |            0 | Queries - Actual Counts                           |                                                                  |       |       1 |          1 |       NULL |            1 |
|  135 |     66 |            1 | Counts - Raw with Qty Evaluated                   | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            1 |
|  136 |     66 |            4 | Count Sums by Material + CountDate                | qryfxdCounts-Sum by Material-CountDate                           |       |       1 |          1 |         16 |            1 |
|  137 |     66 |            8 | SAP Totals                                        | qrySAPTotals                                                     |       |       1 |          1 |         16 |            1 |
|  138 |     66 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  139 |     66 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  140 |     66 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  141 |     66 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  142 |     66 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  143 |     67 |            0 | Queries - Materials                               |                                                                  |       |       1 |          1 |       NULL |            1 |
|  144 |     67 |            1 | All Materials (even uncounted) arr by Last Ct Dt  | qryAll Materials Count Schedule+History                          |       |       1 |          1 |         16 |            1 |
|  145 |     67 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  146 |     67 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  147 |     67 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  148 |     67 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  149 |     67 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  150 |     70 |            0 | Forms                                             |                                                                  |       |       1 |          1 |       NULL |            1 |
|  151 |     70 |            1 | Material                                          | frmMaterial                                                      |       |       1 |          1 |         11 |            1 |
|  152 |     70 |            2 | Part Types (L10 Warehouse Types)                  | frmPartTypes with CountInfo                                      |       |       1 |          1 |         11 |            1 |
|  153 |     70 |            7 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            1 |
|  154 |     70 |            8 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            1 |
|  155 |     70 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  156 |     70 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  157 |     70 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  158 |     70 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  159 |     70 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  160 |     75 |            0 | Reports                                           |                                                                  |       |       1 |          1 |       NULL |            1 |
|  161 |     75 |           10 | All Parts by Type with Last Counts                | rptParts By Type with LastCounts                                 |       |       1 |          1 |         13 |            1 |
|  162 |     75 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  163 |     75 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  164 |     75 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  165 |     75 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  166 |     75 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  167 |     90 |            0 | Miscellaneous                                     |                                                                  |       |       1 |          1 |       NULL |            1 |
|  168 |     90 |            1 | Update SAP Table                                  | frmImportSAP                                                     |       |       1 |          1 |         11 |            1 |
|  169 |     90 |           11 | All Materials (even uncounted) arr by Last Ct Dt  | qryAll Materials Count Schedule+History                          |       |       1 |          1 |         16 |            1 |
|  170 |     90 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            1 |
|  171 |     90 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            1 |
|  172 |     90 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            1 |
|  173 |     90 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            1 |
|  174 |     90 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            1 |
|  175 |     99 |            0 | System Menu                                       |                                                                  |       |       1 |          1 |       NULL |            1 |
|  176 |     99 |            1 | Edit Parameters                                   |                                                                  |       |       1 |          1 |         92 |            1 |
|  177 |     99 |            2 | Edit Greetings                                    |                                                                  |       |       1 |          1 |         93 |            1 |
|  178 |     99 |            4 | Edit Menu                                         |                                                                  |       |       1 |          1 |         91 |            1 |
|  179 |     99 |            6 | Determine RGB values                              | zutilShowColor                                                   |       |       1 |          1 |         11 |            1 |
|  180 |     99 |            9 | Parameters Report                                 | zutilParameters                                                  |       |       1 |          1 |         13 |            1 |
|  181 |     99 |           10 | Menu Report                                       | zutilMenu                                                        |       |       1 |          1 |         13 |            1 |
|  182 |     99 |           11 | Edit Raw Parameter Table                          | zutilParameters                                                  |       |       1 |          1 |         15 |            1 |
|  183 |     99 |           14 | Edit Menu Item Table                              | zapplMenuItems                                                   |       |       1 |          1 |         15 |            1 |
|  184 |     99 |           17 | Reload Signature                                  | zutilSignature                                                   |       |       1 |          1 |         12 |            1 |
|  185 |     99 |           18 | Development                                       | OpenDevelopmentEnvironment                                       |       |       1 |          1 |         21 |            1 |
|  186 |     99 |           19 | View db Window                                    | ShowDBWindow                                                     |       |       1 |          1 |         21 |            1 |
|  187 |     99 |           20 | Main menu                                         | 0                                                                |       |       1 |          1 |          1 |            1 |
|  347 |      0 |            9 | Test                                              | 4                                                                |       |    NULL |       NULL |          1 |            1 |
|  348 |      4 |            0 | Test                                              |                                                                  |       |    NULL |       NULL |          0 |            1 |
|  349 |      4 |            1 | Test fn                                           | f00test00                                                        |       |    NULL |       NULL |         21 |            1 |
|  350 |      4 |           20 | Return to Main Menu                               | 0                                                                |       |    NULL |       NULL |          1 |            1 |
|  351 |      0 |            0 | Main Menu                                         | Default                                                          |       |       1 |          1 |       NULL |            2 |
|  352 |      0 |            1 | Frequently Used Menu                              | 1                                                                |       |       1 |          1 |          1 |            2 |
|  353 |      0 |            2 | Materials                                         | 10                                                               |       |       1 |          1 |          1 |            2 |
|  354 |      0 |            3 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            2 |
|  355 |      0 |            4 | CM Counts                                         | 24                                                               |       |       1 |          1 |          1 |            2 |
|  356 |      0 |            6 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            2 |
|  357 |      0 |           10 | Calvin's Menu                                     | 3                                                                |       |       1 |          1 |          1 |            2 |
|  358 |      0 |           11 | Miscellaneous                                     | 90                                                               |       |       1 |          1 |          1 |            2 |
|  359 |      0 |           18 | System Menu                                       | 99                                                               |       |       1 |          1 |          1 |            2 |
|  360 |      0 |           20 | Go Away!                                          |                                                                  |       |       1 |          1 |        200 |            2 |
|  361 |      1 |            0 | Frequently Used                                   |                                                                  |       |       1 |          1 |       NULL |            2 |
|  362 |      1 |            1 | Material                                          | frmMaterial                                                      |       |       1 |          1 |         11 |            2 |
|  363 |      1 |            2 | Part Types (L10 Warehouse Types)                  | frmPartTypes with CountInfo                                      |       |       1 |          1 |         11 |            2 |
|  364 |      1 |            4 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            2 |
|  365 |      1 |            5 | Print Count Agendas and Worksheets                | frmPrintAgendas                                                  |       |       1 |          1 |         11 |            2 |
|  366 |      1 |            6 | CM Count Scheduling Menu                          | 24                                                               |       |       1 |          1 |          1 |            2 |
|  367 |      1 |            7 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            2 |
|  368 |      1 |            8 | Daily Counts Performed Report                     | frmCountSummaryPreview                                           |       |       1 |          1 |         11 |            2 |
|  369 |      1 |           10 | Update SAP Table                                  | frmImportSAP                                                     |       |       1 |          1 |         11 |            2 |
|  370 |      1 |           11 | Raw Count Table (with Eval Qty)                   | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            2 |
|  371 |      1 |           12 | Typical Locations                                 | Typical Locations                                                |       |       1 |          1 |         15 |            2 |
|  372 |      1 |           13 | SAP                                               | SAP                                                              |       |       1 |          1 |         15 |            2 |
|  373 |      1 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            2 |
|  374 |      1 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            2 |
|  375 |      1 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            2 |
|  376 |      1 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  377 |      3 |            0 | Calvin's Menu                                     |                                                                  |       |       1 |          1 |       NULL |            2 |
|  378 |      3 |            1 | Review Picklists and SAP Moves                    | frmSchedule AddPicks                                             |       |       1 |          1 |         11 |            2 |
|  379 |      3 |            2 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            2 |
|  380 |      3 |            3 | Print Count Agendas and Worksheets                | frmPrintAgendas                                                  |       |       1 |          1 |         11 |            2 |
|  381 |      3 |            5 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            2 |
|  382 |      3 |            6 | Daily Counts Performed Report                     | frmCountSummaryPreview                                           |       |       1 |          1 |         11 |            2 |
|  383 |      3 |            8 | Raw Count Table (with Eval Qty)                   | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            2 |
|  384 |      3 |            9 | Material with Raw Counts                          | frmMaterial                                                      |       |       1 |          1 |         11 |            2 |
|  385 |      3 |           11 | Update SAP Table                                  | frmImportSAP                                                     |       |       1 |          1 |         11 |            2 |
|  386 |      3 |           12 | SAP                                               | SAP                                                              |       |       1 |          1 |         15 |            2 |
|  387 |      3 |           13 | Material List Update Table                        | 00tmpMatl List Updt                                              |       |       1 |          1 |         15 |            2 |
|  388 |      3 |           14 | CM Count Scheduling Menu                          | 24                                                               |       |       1 |          1 |          1 |            2 |
|  389 |      3 |           15 | Typical Locations                                 | Typical Locations                                                |       |       1 |          1 |         15 |            2 |
|  390 |      3 |           16 | Counters                                          | Counters                                                         |       |       1 |          1 |         15 |            2 |
|  391 |      3 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  392 |     10 |            0 | Materials and Part Types                          |                                                                  |       |       1 |          1 |       NULL |            2 |
|  393 |     10 |            1 | Material                                          | frmMaterial                                                      |       |       1 |          1 |         11 |            2 |
|  394 |     10 |            6 | Part Types (L10 Warehouse Types)                  | frmPartTypes with CountInfo                                      |       |       1 |          1 |         11 |            2 |
|  395 |     10 |            9 | Print All Material by PartType with Last Counts   | rptParts By Type with LastCounts                                 |       |       1 |          1 |         13 |            2 |
|  396 |     10 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            2 |
|  397 |     10 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            2 |
|  398 |     10 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            2 |
|  399 |     10 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  400 |     21 |            0 | Count Scheduling                                  |                                                                  |       |       1 |          1 |       NULL |            2 |
|  401 |     21 |            1 | Count Schedule + History                          | frmCount Schedule+History By Counter+Date                        |       |       1 |          1 |         11 |            2 |
|  402 |     21 |            2 | Print Count Agendas and Worksheets                | frmPrintAgendas                                                  |       |       1 |          1 |         11 |            2 |
|  403 |     21 |            4 | Random Count Scheduler for CM Counts              | frmRandCountScheduler                                            |       |       1 |          1 |         11 |            2 |
|  404 |     21 |            7 | View Incomplete Counts                            | qryCountSched - Incompletes                                      |       |       1 |          1 |         16 |            2 |
|  405 |     21 |           10 | View Unassigned (and Incomplete) Scheduled Counts | qryUnassigned Count Schedule                                     |       |       1 |          1 |         16 |            2 |
|  406 |     21 |           11 | Counters                                          | Counters                                                         |       |       1 |          1 |         15 |            2 |
|  407 |     21 |           13 | Raw Count Schedule                                | qryCount Schedule+History with LastCountDate                     |       |       1 |          1 |         16 |            2 |
|  408 |     21 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            2 |
|  409 |     21 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            2 |
|  410 |     21 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            2 |
|  411 |     21 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  412 |     22 |            0 | Actual Counts                                     |                                                                  |       |       1 |          1 |       NULL |            2 |
|  413 |     22 |            1 | Count Entry                                       | frmCountEntry                                                    |       |       1 |          1 |         11 |            2 |
|  414 |     22 |            2 | Raw Counts                                        | qryCounts-Raw with Qty Evaluated                                 |       |       1 |          1 |         16 |            2 |
|  415 |     22 |            3 | Count Sums by Material & Date                     | qryfxdCounts-Sum by Material-CountDate                           |       |       1 |          1 |         16 |            2 |
|  416 |     22 |            4 | Print Count Summary                               | frmCountSummaryPreview                                           |       |       1 |          1 |         11 |            2 |
|  417 |     22 |           11 | Counters Table                                    | Counters                                                         |       |       1 |          1 |         15 |            2 |
|  418 |     22 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            2 |
|  419 |     22 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            2 |
|  420 |     22 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            2 |
|  421 |     22 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  422 |     24 |            0 | CM Counts                                         |                                                                  |       |       1 |          1 |       NULL |            2 |
|  423 |     24 |            1 | CM Random Material Count Scheduling               | frmRandCountScheduler                                            |       |       1 |          1 |         11 |            2 |
|  424 |     24 |            2 | Generate CM Spreadsheet                           | frmExportCMCounts                                                |       |       1 |          1 |         11 |            2 |
|  425 |     24 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            2 |
|  426 |     24 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            2 |
|  427 |     24 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            2 |
|  428 |     24 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            2 |
|  429 |     24 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  430 |     30 |            0 | Audit Menu                                        |                                                                  |       |       1 |          1 |       NULL |            2 |
|  431 |     30 |            1 | Audit Material Table                              | Material for Audit                                               |       |       1 |          1 |         15 |            2 |
|  432 |     30 |            3 | Recent Counts for Audit Materials                 | rptCounts - Raw - Audit Materials                                |       |       1 |          1 |         13 |            2 |
|  433 |     30 |           20 | Return to Main Menu                               | 0                                                                |       |       1 |          1 |          1 |            2 |
|  434 |     60 |            0 | Tables                                            |                                                                  |       |       1 |          1 |       NULL |            2 |
|  435 |     60 |            1 | Count Schedule+History                            | Count Schedule+History                                           |       |       1 |          1 |         15 |            2 |
|  436 |     60 |            2 | Counters                                          | Counters                                                         |       |       1 |          1 |         15 |            2 |
|  437 |     60 |            3 | Counts                                            | Counts                                                           |       |       1 |          1 |         15 |            2 |
|  438 |     60 |            4 | L10Whse PartTypes                                 | L10Whse PartTypes                                                |       |       1 |          1 |         15 |            2 |
|  439 |     60 |            5 | Material List                                     | Material List                                                    |       |       1 |          1 |         15 |            2 |
|  440 |     60 |            6 | SAP                                               | SAP                                                              |       |       1 |          1 |         15 |            2 |
|  441 |     60 |            7 | Typical Locations                                 | Typical Locations                                                |       |       1 |          1 |         15 |            2 |
|  442 |     60 |           16 | Frequently Used                                   | 1                                                                |       |       1 |          1 |          1 |            2 |
|  443 |     60 |           17 | Materials and Part Types                          | 10                                                               |       |       1 |          1 |          1 |            2 |
|  444 |     60 |           18 | Count Scheduling                                  | 21                                                               |       |       1 |          1 |          1 |            2 |
|  445 |     60 |           19 | Actual Counts                                     | 22                                                               |       |       1 |          1 |          1 |            2 |
|  446 |     60 |           20 | Main menu                                         | 0                                                                |       |       1 |          1 |          1 |            2 |
